brand_name,snack_name,snack_url,snack_taste_test,snack_smell_test,amazon_link
Aero (10) ,Nestle Aero Orange ,https://www.taquitos.net/candy/Nestle-Aero-Orange,"Taste test: This version of the Aero bar had a 2x5 grid of very gracefully curved domes, each bearing the Aero logo (complete with bubbles emerging from the O).",Smell test: Strong chocolate orange smell. ,"https://www.amazon.com/s/ref=as_li_ss_tl?k=chocolate&i=grocery&crid=2E0OVDPLB3UL8&sprefix=chocoalte,aps,186&ref=nb_sb_ss_sc_2_9&linkCode=ll2&tag=taquitosnet-ta-1-20&linkId=8df4a4f789c56ab7457b524220ad1445"
Andy Capp's (7) ,Andy Capp's BBQ Fries ,https://www.taquitos.net/snacks.php?snack_code=218,"Taste test: Andy Capp makes (or at least eats) some awfully good fries, in every flavor they make.","Smell test: The bag smells like barbecue sauce — there's a great, sweet barbecue aroma. ",https://www.amazon.com/s/ref=as_li_ss_tl?k=andy+capp's+fries&i=grocery&ref=nb_sb_noss_2&linkCode=ll2&tag=taquitosnet-ta-1-20&linkId=78f5752c7175f4a6a236ac82ef525dad
Andy Capp's (7) ,Andy Capp's Cheddar Fries ,https://www.taquitos.net/snacks.php?snack_code=219,"Taste test: Slighly spicy, very hard to place the flavor.",Smell test: Smells likes steak marinade ,https://www.amazon.com/s/ref=as_li_ss_tl?k=andy+capp's+fries&i=grocery&ref=nb_sb_noss_2&linkCode=ll2&tag=taquitosnet-ta-1-20&linkId=78f5752c7175f4a6a236ac82ef525dad
Andy Capp's (7) ,Andy Capp's Hot Chili Cheese Steak Fries ,https://www.taquitos.net/snacks.php?snack_code=220,"Taste test: These fries tasted like a spicy Dorito, but hotter.",Smell test: Very strong chili pepper taco seasoning smell. ,https://www.amazon.com/s/ref=as_li_ss_tl?k=andy+capp's+fries&i=grocery&ref=nb_sb_noss_2&linkCode=ll2&tag=taquitosnet-ta-1-20&linkId=78f5752c7175f4a6a236ac82ef525dad
Andy Capp's (7) ,Andy Capp's Hot Fries ,https://www.taquitos.net/chips/Andy-Capp-Hot-Fries,Taste test: These are the hot version of the very popular Andy Capp's Pub Fries.,Online store: Buy Andy Capp's on Amazon #ad ,https://www.amazon.com/s/ref=as_li_ss_tl?k=andy+capp's+fries&i=grocery&ref=nb_sb_noss_2&linkCode=ll2&tag=taquitosnet-ta-1-20&linkId=78f5752c7175f4a6a236ac82ef525dad
Andy Capp's (7) ,Andy Capp's Ranch Fries ,https://www.taquitos.net/chips/Andy-Capps-Ranch-Fries,"Taste test: Andy Capp's Fries were one of the first snacks we reviewed when we started this crazy enterprise more than 18 years ago. While other brands have expanded into dozens or even 100+ flavors, flavor expansion hasn't been a big thing for Andy — the number of Andy Capp's varieties in our reviews never went beyond six. (The beloved Pub Fries were discontinued before we ever got started.) Now, finally, there's a seventh flavor!",Smell test: Strong ranch smell. ,https://www.amazon.com/s/ref=as_li_ss_tl?k=andy+capp's+fries&i=grocery&ref=nb_sb_noss_2&linkCode=ll2&tag=taquitosnet-ta-1-20&linkId=78f5752c7175f4a6a236ac82ef525dad
Andy Capp's (7) ,Andy Capp's Salsa Fries ,https://www.taquitos.net/snacks.php?snack_code=1391,"Taste test: These are good fries with a nice spicy salsa flavor. They're kind of hot, and there's a definite salsa aftertaste. The fries vary in both thickness and length, and they have a good crunch.","Smell test: Not a strong aroma, but it does smell like salsa. ",https://www.amazon.com/s/ref=as_li_ss_tl?k=andy+capp's+fries&i=grocery&ref=nb_sb_noss_2&linkCode=ll2&tag=taquitosnet-ta-1-20&linkId=78f5752c7175f4a6a236ac82ef525dad
Andy Capp's (7) ,Andy Capp's White Cheddar Cheese Steak Fries ,https://www.taquitos.net/snacks.php?snack_code=222,Taste test: There are a thicker cut version of regular Andy Capp fries.,Smell test: Nice aroma of white cheddar ,https://www.amazon.com/s/ref=as_li_ss_tl?k=andy+capp's+fries&i=grocery&ref=nb_sb_noss_2&linkCode=ll2&tag=taquitosnet-ta-1-20&linkId=78f5752c7175f4a6a236ac82ef525dad
Bachman (26) ,Anne's Hand Cooked Nantucket Potato Chips ,https://www.taquitos.net/chips/Annes_Nantucket_Potato_Chips,Taste test: These are OK but nothing great.,Smell test: Kind of oily. ,https://www.amazon.com/gp/search?ie=UTF8&keywords=potato%20chips&tag=taquitosnet-ta-1-20&index=grocery&linkCode=ur2&camp=1789&creative=9325
Bachman (26) ,Bachman All Natural Wheat & Honey Pretzelsnack ,https://www.taquitos.net/snacks.php?snack_code=2530,"Taste test: These thick pretzel snacks were about two inches long, had a nice crunch, and tasted quite good.","Smell test: Not really a honey or a wheat smell, but OK. ","https://www.amazon.com/s/ref=as_li_ss_tl?fst=as:off&rh=n:16310101,n:!16310211,n:16322721,n:16323081&bbn=16322721&ie=UTF8&qid=1539475383&rnid=16322721&linkCode=ll2&tag=taquitosnet-ta-1-20&linkId=956bb4d7f9adb182384b1b2e11c85ea6"
